,school,school,sex,sex,age,age,address,address,famsize,famsize,Pstatus,Pstatus,Medu,Medu,Fedu,Fedu,Mjob,Mjob,Fjob,Fjob,reason,reason,guardian,guardian,traveltime,traveltime,studytime,studytime,failures,failures,schoolsup,schoolsup,famsup,famsup,paid,paid,activities,activities,nursery,nursery,higher,higher,internet,internet,romantic,romantic,famrel,famrel,freetime,freetime,goout,goout,Dalc,Dalc,Walc,Walc,health,health,absences,absences,G1,G1,G2,G2,G3,G3
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,GP,GP,F,F,15,15,R,R,GT3,GT3,T,T,1,1,1,1,at_home,at_home,other,other,home,home,mother,mother,2,2,4,4,1,1,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,3,3,1,1,2,2,1,1,1,1,1,1,2,2,7,7,10,10,10,10
1,GP,GP,F,F,15,15,R,R,GT3,GT3,T,T,1,1,1,1,other,other,other,other,reputation,reputation,mother,mother,1,1,2,2,2,2,yes,True,yes,True,no,False,no,False,no,False,yes,True,yes,True,yes,True,3,3,3,3,4,4,2,2,4,4,5,5,2,2,8,8,6,6,5,5
2,GP,GP,F,F,15,15,R,R,GT3,GT3,T,T,2,2,2,2,at_home,at_home,other,other,reputation,reputation,mother,mother,1,1,1,1,0,0,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,no,False,4,4,3,3,1,1,1,1,1,1,2,2,8,8,14,14,13,13,13,13
3,GP,GP,F,F,15,15,R,R,GT3,GT3,T,T,2,2,4,4,services,services,health,health,course,course,mother,mother,1,1,3,3,0,0,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,2,2,1,1,1,1,5,5,2,2,10,10,9,9,8,8
4,GP,GP,F,F,15,15,R,R,GT3,GT3,T,T,3,3,3,3,services,services,services,services,reputation,reputation,other,other,2,2,3,3,2,2,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,2,2,1,1,2,2,3,3,3,3,8,8,10,10,10,10,10,10
5,GP,GP,F,F,15,15,R,R,GT3,GT3,T,T,3,3,4,4,services,services,health,health,course,course,mother,mother,1,1,3,3,0,0,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,2,2,1,1,1,1,5,5,2,2,12,12,12,12,11,11
6,GP,GP,F,F,15,15,R,R,GT3,GT3,T,T,3,3,4,4,services,services,teacher,teacher,course,course,father,father,2,2,3,3,2,2,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,4,4,2,2,2,2,2,2,2,2,5,5,0,0,12,12,0,0,0,0
7,GP,GP,F,F,15,15,R,R,LE3,LE3,T,T,2,2,2,2,health,health,services,services,reputation,reputation,mother,mother,2,2,2,2,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,1,1,3,3,1,1,3,3,4,4,2,2,8,8,9,9,8,8
8,GP,GP,F,F,15,15,R,R,LE3,LE3,T,T,3,3,1,1,other,other,other,other,reputation,reputation,father,father,2,2,4,4,0,0,no,False,yes,True,no,False,no,False,no,False,yes,True,yes,True,no,False,4,4,4,4,2,2,2,2,3,3,3,3,12,12,16,16,16,16,16,16
